TRAIL,SIZE,SPECIES,COUNT_0-25,COUNT_25PLUS,BIRD_RICHNESS,TREE_RICHNESS,TOTAL_PPL,AVGPPL_H
STNYL1,LARGE,HOWR,1,1,16,10,1,6
STNYL1,LARGE,BAOR,0,2,16,10,1,6
STNYL2,LARGE,SOSP,1,2,21,7,0,0
STNYL2,LARGE,TRES,0,1,21,7,0,0
STNYL2,LARGE,PIWO,0,1,21,7,0,0
STNYL2,LARGE,AMRE,2,0,21,7,0,0
STNYL2,LARGE,HOWR,2,2,21,7,0,0
STNYL2,LARGE,YEWA,1,2,21,7,0,0
STNYL2,LARGE,EAKI,0,1,21,7,0,0
STNYL2,LARGE,EAPH,1,1,21,7,0,0
STNYL2,LARGE,AMRO,2,1,21,7,0,0
STNYL2,LARGE,CEDW,3,0,21,7,0,0
STNYL2,LARGE,REVI,3,1,21,7,0,0
STNYL2,LARGE,WAVI,2,0,21,7,0,0
STNYL2,LARGE,RBGR,1,1,21,7,0,0
STNYL2,LARGE,CSWA,2,2,21,7,0,0
STNYL2,LARGE,COYE,1,0,21,7,0,0
STNYL2,LARGE,WOTH,0,1,21,7,0,0
STNYL2,LARGE,INBU,0,1,21,7,0,0
STNYL2,LARGE,NOCA,0,1,21,7,0,0
STNYL2,LARGE,CHSP,1,0,21,7,0,0
STNYL2,LARGE,NOWA,0,1,21,7,0,0
STNYL2,LARGE,BCCH,1,1,21,7,0,0
STNYS1,SMALL,HOWOR,0,3,20,9,0,0
STNYS1,SMALL,YEWA,6,1,20,9,0,0
STNYS1,SMALL,WAVI,1,2,20,9,0,0
STNYS1,SMALL,SOSP,1,1,20,9,0,0
STNYS1,SMALL,COYE,2,0,20,9,0,0
STNYS1,SMALL,BCCH,1,1,20,9,0,0
STNYS1,SMALL,BAOR,2,0,20,9,0,0
STNYS1,SMALL,TRES,2,0,20,9,0,0
STNYS1,SMALL,CEDW,0,2,20,9,0,0
STNYS1,SMALL,GRCA,0,1,20,9,0,0
STNYS1,SMALL,GCFL,0,1,20,9,0,0
STNYS1,SMALL,RBGR,0,1,20,9,0,0
STNYS1,SMALL,WBNU,0,1,20,9,0,0
STNYS1,SMALL,SWSP,1,1,20,9,0,0
STNYS1,SMALL,NOCA,0,1,20,9,0,0
STNYS1,SMALL,REVI,2,2,20,9,0,0
STNYS1,SMALL,EAPH,1,1,20,9,0,0
STNYS1,SMALL,BLJA,0,2,20,9,0,0
STNYS1,SMALL,KILL,0,1,20,9,0,0
STNYS1,SMALL,EAKI,1,0,20,9,0,0
STNYS2,SMALL,SOSP,4,1,19,15,5,18.75
STNYS2,SMALL,RBGR,1,0,19,15,5,18.75
STNYS2,SMALL,COYE,2,1,19,15,5,18.75
STNYS2,SMALL,YEWA,7,0,19,15,5,18.75
STNYS2,SMALL,WAVI,0,3,19,15,5,18.75
STNYS2,SMALL,EAKI,1,0,19,15,5,18.75
STNYS2,SMALL,REVI,0,3,19,15,5,18.75
STNYS2,SMALL,BAOR,0,2,19,15,5,18.75
STNYS2,SMALL,CEDW,0,5,19,15,5,18.75
STNYS2,SMALL,TRES,0,1,19,15,5,18.75
STNYS2,SMALL,CSWA,1,1,19,15,5,18.75
STNYS2,SMALL,HOWR,0,2,19,15,5,18.75
STNYS2,SMALL,AMRO,2,0,19,15,5,18.75
STNYS2,SMALL,SWSP,0,1,19,15,5,18.75
STNYS2,SMALL,NOCA,0,1,19,15,5,18.75
STNYS2,SMALL,EAPH,0,1,19,15,5,18.75
STNYS2,SMALL,GCFL,0,1,19,15,5,18.75
STNYS2,SMALL,AMGO,0,1,19,15,5,18.75
STNYS2,SMALL,GRCA,1,0,19,15,5,18.75
TECHL1,LARGE,AMGO,2,0,14,11,12,19.2
TECHL1,LARGE,WAVI,1,0,14,11,12,19.2
TECHL1,LARGE,GCFL,1,1,14,11,12,19.2
TECHL1,LARGE,GRCA,2,1,14,11,12,19.2
TECHL1,LARGE,AMRE,2,3,14,11,12,19.2
TECHL1,LARGE,YSFL,0,1,14,11,12,19.2
TECHL1,LARGE,BTNW,0,1,14,11,12,19.2
TECHL1,LARGE,AMRO,2,2,14,11,12,19.2
TECHL1,LARGE,BAOR,0,1,14,11,12,19.2
TECHL1,LARGE,YEWA,4,0,14,11,12,19.2
TECHL1,LARGE,SOSP,1,1,14,11,12,19.2
TECHL1,LARGE,CEDW,1,0,14,11,12,19.2
TECHL1,LARGE,NOCA,1,0,14,11,12,19.2
TECHL1,LARGE,REVI,0,1,14,11,12,19.2
TECHL1,LARGE,CORA,0,1,14,11,12,19.2
TECHL2,LARGE,NOCA,1,1,18,7,0,0
TECHL2,LARGE,AMRO,1,2,18,7,0,0
TECHL2,LARGE,SOSP,4,2,18,7,0,0
TECHL2,LARGE,YEWA,4,5,18,7,0,0
TECHL2,LARGE,GRCA,2,0,18,7,0,0
TECHL2,LARGE,CEDW,2,2,18,7,0,0
TECHL2,LARGE,COGR,1,0,18,7,0,0
TECHL2,LARGE,EAKI,0,1,18,7,0,0
TECHL2,LARGE,WITU,0,1,18,7,0,0
TECHL2,LARGE,CHSP,0,1,18,7,0,0
TECHL2,LARGE,WAVI,2,1,18,7,0,0
TECHL2,LARGE,GCFL,0,1,18,7,0,0
TECHL2,LARGE,AMGO,2,0,18,7,0,0
TECHL2,LARGE,LEFL,0,1,18,7,0,0
TECHL2,LARGE,HOWR,0,1,18,7,0,0
TECHL2,LARGE,COYE,0,1,18,7,0,0
TECHL2,LARGE,BHCO,0,1,18,7,0,0
TECHL2,LARGE,TRES,0,1,18,7,0,0
TECHS1,SMALL,REVI,1,1,15,8,1,6
TECHS1,SMALL,AMRE,3,1,15,8,1,6
TECHS1,SMALL,YEWA,6,3,15,8,1,6
TECHS1,SMALL,AMGO,1,1,15,8,1,6
TECHS1,SMALL,AMRO,1,0,15,8,1,6
TECHS1,SMALL,WAVI,1,1,15,8,1,6
TECHS1,SMALL,SOSP,1,2,15,8,1,6
TECHS1,SMALL,NOCA,0,2,15,8,1,6
TECHS1,SMALL,LEFL,1,1,15,8,1,6
TECHS1,SMALL,COGR,0,1,15,8,1,6
TECHS1,SMALL,BHCO,0,1,15,8,1,6
TECHS1,SMALL,GCFL,2,0,15,8,1,6
TECHS1,SMALL,GRCA,1,1,15,8,1,6
TECHS1,SMALL,BCCH,2,2,15,8,1,6
TECHS1,SMALL,DOWO,0,1,15,8,1,6
TECHS2,SMALL,YEWA,8,4,16,6,6,8.8
TECHS2,SMALL,SOSP,1,1,16,6,6,8.8
TECHS2,SMALL,WIWA,1,0,16,6,6,8.8
TECHS2,SMALL,MAWA,1,0,16,6,6,8.8
TECHS2,SMALL,WAVI,0,4,16,6,6,8.8
TECHS2,SMALL,NOHA,0,1,16,6,6,8.8
TECHS2,SMALL,AMRE,2,3,16,6,6,8.8
TECHS2,SMALL,AMRO,0,3,16,6,6,8.8
TECHS2,SMALL,CEDW,0,1,16,6,6,8.8
TECHS2,SMALL,COYE,0,1,16,6,6,8.8
TECHS2,SMALL,AMGO,0,2,16,6,6,8.8
TECHS2,SMALL,NOPA,0,1,16,6,6,8.8
TECHS2,SMALL,BHCO,0,1,16,6,6,8.8
TECHS2,SMALL,REVI,0,1,16,6,6,8.8
TECHS2,SMALL,DOWO,0,2,16,6,6,8.8
TECHS2,SMALL,NOCA,0,1,16,6,6,8.8
BDLS2,SMALL,WAVI,1,0,13,9,5,17.57
BDLS2,SMALL,AMRE,1,1,13,9,5,17.57
BDLS2,SMALL,NOCA,1,1,13,9,5,17.57
BDLS2,SMALL,YEWA,4,1,13,9,5,17.57
BDLS2,SMALL,GRCA,1,0,13,9,5,17.57
BDLS2,SMALL,SOSP,0,2,13,9,5,17.57
BDLS2,SMALL,BCCH,1,2,13,9,5,17.57
BDLS2,SMALL,AMGO,3,1,13,9,5,17.57
BDLS2,SMALL,EAWP,0,1,13,9,5,17.57
BDLS2,SMALL,DOWO,1,0,13,9,5,17.57
BDLS2,SMALL,HOWR,0,2,13,9,5,17.57
BDLS2,SMALL,BHCO,0,3,13,9,5,17.57
BDLS2,SMALL,AMRO,0,2,13,9,5,17.57
BDLL1,LARGE,WAVI,2,2,16,8,134,25.95
BDLL1,LARGE,TEWA,1,0,16,8,134,25.95
BDLL1,LARGE,YEWA,2,5,16,8,134,25.95
BDLL1,LARGE,EAPH,1,1,16,8,134,25.95
BDLL1,LARGE,AMRE,1,0,16,8,134,25.95
BDLL1,LARGE,AMRO,2,1,16,8,134,25.95
BDLL1,LARGE,CHSP,0,1,16,8,134,25.95
BDLL1,LARGE,WOTH,0,2,16,8,134,25.95
BDLL1,LARGE,SOSP,0,1,16,8,134,25.95
BDLL1,LARGE,NOCA,1,3,16,8,134,25.95
BDLL1,LARGE,REVI,0,2,16,8,134,25.95
BDLL1,LARGE,BCCH,0,1,16,8,134,25.95
BDLL1,LARGE,BAOR,0,1,16,8,134,25.95
BDLL1,LARGE,GCFL,0,1,16,8,134,25.95
BDLL1,LARGE,HOWR,0,1,16,8,134,25.95
BDLL1,LARGE,EAWP,0,1,16,8,134,25.95
BDLS1,SMALL,REVI,2,3,13,10,1,12
BDLS1,SMALL,YEWA,1,3,13,10,1,12
BDLS1,SMALL,BCCH,1,0,13,10,1,12
BDLS1,SMALL,GRCA,1,1,13,10,1,12
BDLS1,SMALL,AMRO,1,0,13,10,1,12
BDLS1,SMALL,AMRE,0,1,13,10,1,12
BDLS1,SMALL,NOCA,0,1,13,10,1,12
BDLS1,SMALL,PIWO,0,1,13,10,1,12
BDLS1,SMALL,BAOR,1,0,13,10,1,12
BDLS1,SMALL,WAVI,0,1,13,10,1,12
BDLS1,SMALL,HOWR,0,1,13,10,1,12
BDLS1,SMALL,WBNU,0,1,13,10,1,12
BDLS1,SMALL,EAWP,0,1,13,10,1,12
BDLL2,LARGE,HOWR,1,0,15,15,28,11.84
BDLL2,LARGE,YEWA,2,2,15,15,28,11.84
BDLL2,LARGE,NOCA,2,0,15,15,28,11.84
BDLL2,LARGE,MAWA,1,0,15,15,28,11.84
BDLL2,LARGE,AMGO,0,1,15,15,28,11.84
BDLL2,LARGE,REVI,0,4,15,15,28,11.84
BDLL2,LARGE,AMRO,0,2,15,15,28,11.84
BDLL2,LARGE,AMRE,2,5,15,15,28,11.84
BDLL2,LARGE,BAOR,0,1,15,15,28,11.84
BDLL2,LARGE,GRCA,0,1,15,15,28,11.84
BDLL2,LARGE,WAVI,1,2,15,15,28,11.84
BDLL2,LARGE,EAPH,0,1,15,15,28,11.84
BDLL2,LARGE,WIFL,0,1,15,15,28,11.84
BDLL2,LARGE,WBNU,0,1,15,15,28,11.84
BDLL2,LARGE,SOSP,0,1,15,15,28,11.84
