Date,Field_Site,WeekendorWeekday,AMorPM,Effort,Temp,Trail_ID,ID_Code,EncounterNo,People,Children,Adults,Elderly,Car,Trail_Use,Noise_Level,Activity,DogsPresent,NumberofDogs
29/05/2023,MorganArboretum,Weekday,AM,6,19,ARBOL2,MAY29_ARBOL2_LOOP1_ENCOUNTER4,4,1,0,0,0,1,Off,Car,Other,N,NA
29/05/2023,MorganArboretum,Weekday,AM,7,19,ARBOS2,MAY29_ARBOS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,MorganArboretum,Weekday,AM,2,19,ARBOL1,MAY29_ARBOL1_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,MorganArboretum,Weekday,AM,2,19,ARBOL1,MAY29_ARBOL1_LOOP2_ENCOUNTER1,1,1,0,0,0,1,On,Car,Other,N,NA
29/05/2023,MorganArboretum,Weekday,AM,6,19,ARBOL2,MAY29_ARBOL2_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,MorganArboretum,Weekday,AM,6,19,ARBOL2,MAY29_ARBOL2_LOOP2_ENCOUNTER1,1,1,0,0,0,1,On,Car,Other,N,NA
29/05/2023,MorganArboretum,Weekday,AM,3,19,ARBOS1,MAY29_ARBOL2_LOOPS1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
29/05/2023,MorganArboretum,Weekday,AM,8,19,ARBOS2,MAY29_ARBOL2_LOOPS2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
31/05/2023,Technoparc,Weekday,AM,7,21,TECHL1,MAY31_TECHL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
31/05/2023,Technoparc,Weekday,AM,5,21,TECHS1,MAY31_TECHS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
31/05/2023,Technoparc,Weekday,AM,5,21,TECHL2,MAY31_TECHL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
31/05/2023,Technoparc,Weekday,AM,4,21,TECHS2,MAY31_TECHS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
31/05/2023,BoisdeLiesse,Weekday,AM,7,23,BDLL1,MAY31_BDLL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
31/05/2023,BoisdeLiesse,Weekday,AM,7,23,BDLL1,MAY31_BDLL1_LOOP1_ENCOUNTER1,1,2,0,1,0,0,On,Silent,Walking,N,NA
31/05/2023,BoisdeLiesse,Weekday,AM,7,23,BDLL1,MAY31_BDLL1_LOOP1_ENCOUNTER2,2,7,0,3,4,0,On,Low,Other,N,NA
31/05/2023,BoisdeLiesse,Weekday,AM,7,23,BDLL1,MAY31_BDLL1_LOOP1_ENCOUNTER3,3,1,0,1,0,0,On,Silent,Walking,N,NA
31/05/2023,BoisdeLiesse,Weekday,AM,5,23,BDLS1,MAY31_BDLS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
31/05/2023,BoisdeLiesse,Weekday,AM,5,23,BDLS1,MAY31_BDLS1_LOOP1_ENCOUNTER1,1,1,0,1,0,0,On,Low,Running,N,NA
31/05/2023,BoisdeLiesse,Weekday,AM,4,23,BDLL2,MAY31_BDLL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
31/05/2023,BoisdeLiesse,Weekday,AM,4,23,BDLL2,MAY31_BDLL2_LOOP1_ENCOUNTER0,1,1,0,1,0,0,On,Loud,Biking,N,NA
31/05/2023,BoisdeLiesse,Weekday,AM,7,25,BDLS2,MAY31_BDLS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
31/05/2023,BoisdeLiesse,Weekday,AM,7,25,BDLS2,MAY31_BDLS2_LOOP1_ENCOUNTER1,1,2,0,1,0,0,On,Low,Walking,N,NA
11/06/2023,BoisdeLiesse,Weekend,PM,3,25,BDLL1,JUN11_BDLL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,BoisdeLiesse,Weekend,PM,3,25,BDLL1,JUN11_BDLL1_LOOP1_ENCOUNTER1,1,3,1,2,0,0,On,Low,Walking,N,NA
11/06/2023,BoisdeLiesse,Weekend,PM,3,25,BDLL1,JUN11_BDLL1_LOOP1_ENCOUNTER2,2,1,0,1,0,0,On,Low,Biking,N,NA
11/06/2023,BoisdeLiesse,Weekend,PM,5,25,BDLS1,JUN11_BDLS1_LOOP1_ENCOUNTER0,0,0,1,1,1,0,NA,NA,NA,N,NA
11/06/2023,BoisdeLiesse,Weekend,PM,6,25,BDLL2,JUN11_BDLL2_LOOP1_ENCOUNTER0,0,0,1,1,1,0,NA,NA,NA,N,NA
11/06/2023,BoisdeLiesse,Weekend,PM,6,25,BDLL2,JUN11_BDLL2_LOOP1_ENCOUNTER1,1,2,0,1,0,0,On,Low,Observations,N,NA
11/06/2023,BoisdeLiesse,Weekend,PM,4,25,BDLL1,JUN11_BDLL1_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,BoisdeLiesse,Weekend,PM,4,25,BDLL1,JUN11_BDLL1_LOOP2_ENCOUNTER1,1,2,0,1,0,0,On,Low,Other,N,NA
11/06/2023,BoisdeLiesse,Weekend,PM,4,25,BDLL1,JUN11_BDLL1_LOOP2_ENCOUNTER2,2,1,0,1,0,0,On,Loud,Biking,N,NA
11/06/2023,BoisdeLiesse,Weekend,PM,4,25,BDLL1,JUN11_BDLL1_LOOP2_ENCOUNTER3,3,1,0,1,0,0,On,Loud,Biking,N,NA
11/06/2023,BoisdeLiesse,Weekend,PM,5,25,BDLS2,JUN11_BDLS2_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,Technoparc,Weekend,PM,6,26,TECHL1,JUN11_TECHL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,Technoparc,Weekend,PM,5,26,TECHS1,JUN11_TECHS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,Technoparc,Weekend,PM,5,26,TECHL2,JUN11_TECHL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,Technoparc,Weekend,PM,6,26,TECHS2,JUN11_TECHS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,MorganArboretum,Weekend,PM,5,26,ARBOS1,JUN11_ARBOS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,MorganArboretum,Weekend,PM,5,26,ARBOS1,JUN11_ARBOS1_LOOP1_ENCOUNTER1,1,2,0,1,0,0,On,Low,Walking,N,NA
11/06/2023,MorganArboretum,Weekend,PM,7,26,ARBOL1,JUN11_ARBOL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,MorganArboretum,Weekend,PM,7,26,ARBOL1,JUN11_ARBOL1_LOOP1_ENCOUNTER1,1,1,0,1,0,0,On,Silent,Walking,N,NA
11/06/2023,MorganArboretum,Weekend,PM,6,26,ARBOL2,JUN11_ARBOL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,MorganArboretum,Weekend,PM,6,26,ARBOL2,JUN11_ARBOL2_LOOP1_ENCOUNTER1,1,4,0,1,0,0,On,Low,Walking,N,NA
11/06/2023,MorganArboretum,Weekend,PM,6,26,ARBOL2,JUN11_ARBOL2_LOOP1_ENCOUNTER2,2,2,0,0,1,0,On,Silent,Walking,N,NA
11/06/2023,MorganArboretum,Weekend,PM,6,26,ARBOS2,JUN11_ARBOS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,Stoneycroft,Weekend,PM,10,26,STNYL1,JUN11_STNYL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,Stoneycroft,Weekend,PM,10,26,STNYL2,JUN11_STNYL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,Stoneycroft,Weekend,PM,10,26,STNYS1,JUN11_STNYS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
11/06/2023,Stoneycroft,Weekend,PM,10,26,STNYS2,JUN11_STNYS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
14/06/2023,BoisdeLiesse,Weekday,AM,5,19,BDLS2,JUN14_BDLS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
14/06/2023,BoisdeLiesse,Weekday,AM,3,19,BDLL1,JUN14_BDLL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
14/06/2023,BoisdeLiesse,Weekday,AM,3,19,BDLL1,JUN14_BDLL1_LOOP1_ENCOUNTER1,1,2,0,1,0,0,On,Loud,Standing,N,NA
14/06/2023,BoisdeLiesse,Weekday,AM,5,19,BDLS1,JUN14_BDLS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
14/06/2023,BoisdeLiesse,Weekday,AM,6,19,BDLL2,JUN14_BDLL2_LOOP1_ENCOUNTER0,0,0,16,3,0,0,NA,NA,NA,N,NA
14/06/2023,BoisdeLiesse,Weekday,AM,3,19,BDLL1,JUN14_BDLL1_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
14/06/2023,BoisdeLiesse,Weekday,AM,3,19,BDLL1,JUN14_BDLL1_LOOP2_ENCOUNTER1,1,19,0,0,0,0,On,VeryLoud,Standing,N,NA
14/06/2023,Stoneycroft,Weekday,AM,5,21,STNYL1,JUN14_STNYL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
14/06/2023,Stoneycroft,Weekday,AM,4,21,STNYL2,JUN14_STNYL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
14/06/2023,Stoneycroft,Weekday,AM,4,21,STNYS1,JUN14_STNYS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
14/06/2023,Stoneycroft,Weekday,AM,5,21,STNYS2,JUN14_STNYS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
14/06/2023,MorganArboretum,Weekday,PM,5,21,ARBOS1,JUN14_ARBOS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
14/06/2023,MorganArboretum,Weekday,PM,5,21,ARBOL1,JUN14_ARBOL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
14/06/2023,MorganArboretum,Weekday,PM,6,21,ARBOL2,JUN14_ARBOL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
14/06/2023,MorganArboretum,Weekday,PM,6,21,ARBOL2,JUN14_ARBOL2_LOOP1_ENCOUNTER1,1,2,0,0,1,0,On,Low,Walking,Y,2
14/06/2023,MorganArboretum,Weekday,PM,6,21,ARBOL2,JUN14_ARBOL2_LOOP1_ENCOUNTER2,2,3,0,1,0,0,On,Loud,Running,N,NA
14/06/2023,MorganArboretum,Weekday,PM,5,21,ARBOS2,JUN14_ARBOS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,Stoneycroft,Weekday,AM,3,21,STNYL1,JUN21_STNYL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,MorganArboretum,Weekday,AM,3,21,ARBOS1,JUN21_ARBOS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,MorganArboretum,Weekday,AM,3,21,ARBOL1,JUN21_ARBOL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,MorganArboretum,Weekday,AM,6,21,ARBOL2,JUN21_ARBOL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,MorganArboretum,Weekday,AM,5,21,ARBOS2,JUN21_ARBOS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,MorganArboretum,Weekday,AM,3,21,ARBOL1,JUN21_ARBOL1_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,MorganArboretum,Weekday,AM,2,21,ARBOS1,JUN21_ARBOS1_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,Stoneycroft,Weekday,AM,2,23,STNYL1,JUN21_STNYL1_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,Stoneycroft,Weekday,AM,4,23,STNYL2,JUN21_STNYL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,Stoneycroft,Weekday,AM,5,23,STNYS1,JUN21_STNYS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,Stoneycroft,Weekday,AM,5,23,STNYS2,JUN21_STNYS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,Technoparc,Weekday,AM,6,24,TECHL1,JUN21_TECHL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,Technoparc,Weekday,AM,6,24,TECHL1,JUN21_TECHL1_LOOP1_ENCOUNTER1,1,5,0,1,0,0,On,Low,Standing,N,NA
21/06/2023,Technoparc,Weekday,AM,6,24,TECHL1,JUN21_TECHL1_LOOP1_ENCOUNTER2,2,1,0,1,0,1,On,Car,Other,N,NA
21/06/2023,Technoparc,Weekday,AM,4,24,TECHS1,JUN21_TECHS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,Technoparc,Weekday,AM,5,24,TECHL2,JUN21_TECHL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,Technoparc,Weekday,PM,6,24,TECHS2,JUN21_TECHS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,Technoparc,Weekday,PM,6,24,TECHS2,JUN21_TECHS2_LOOP1_ENCOUNTER1,1,2,0,0,1,0,On,Low,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER1,1,1,0,1,0,0,On,Silent,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER2,2,1,0,1,0,0,On,Silent,Standing,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER3,3,2,0,1,0,0,On,Low,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER4,4,1,1,0,0,0,On,Low,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER5,5,2,0,1,0,0,On,Low,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER6,6,2,0,1,0,0,On,Silent,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER7,7,2,0,1,0,0,On,Loud,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER8,8,1,1,0,0,0,On,Silent,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER9,9,1,0,1,0,0,On,Silent,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER10,10,1,1,0,0,0,On,Silent,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER11,11,1,0,1,0,0,On,Silent,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER12,12,1,0,1,0,0,On,Silent,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER13,13,3,0,1,0,0,On,Loud,Biking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,4,25,BDLS1,JUN21_BDLS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,6,25,BDLL2,JUN21_BDLL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,6,25,BDLL2,JUN21_BDLL2_LOOP1_ENCOUNTER1,1,2,0,1,0,0,On,Silent,Standing,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,6,25,BDLL2,JUN21_BDLL2_LOOP1_ENCOUNTER2,2,2,0,1,0,0,On,Low,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,6,25,BDLL2,JUN21_BDLL2_LOOP1_ENCOUNTER3,3,1,0,1,0,0,On,Loud,Biking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,3,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,3,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER1,1,1,0,0,0,0,On,Silent,Walking,Y,1
21/06/2023,BoisdeLiesse,Weekday,PM,3,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER2,2,1,0,0,0,0,On,Silent,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,3,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER3,3,1,0,0,0,0,On,Low,Walking,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,3,25,BDLL1,JUN21_BDLL1_LOOP1_ENCOUNTER4,4,1,0,0,0,0,On,Low,Standing,N,NA
21/06/2023,BoisdeLiesse,Weekday,PM,5,25,BDLS2,JUN21_BDLS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,BoisdeLiesse,Weekday,AM,5,27,BDLS2,JUL05_BDLS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,BoisdeLiesse,Weekday,AM,3,27,BDLL1,JUL05_BDLL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,BoisdeLiesse,Weekday,AM,3,27,BDLL1,JUL05_BDLL1_LOOP1_ENCOUNTER1,1,1,0,1,0,0,On,Low,Walking,N,NA
05/07/2023,BoisdeLiesse,Weekday,AM,4,27,BDLS1,JUN21_BDLS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,BoisdeLiesse,Weekday,AM,6,27,BDLL2,JUN21_BDLL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,BoisdeLiesse,Weekday,AM,6,27,BDLL2,JUN21_BDLL2_LOOP1_ENCOUNTER1,1,0,1,0,1,0,On,Silent,Standing,N,NA
05/07/2023,BoisdeLiesse,Weekday,AM,3,27,BDLL1,JUL05_BDLL1_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,BoisdeLiesse,Weekday,AM,3,27,BDLL1,JUL05_BDLL1_LOOP2_ENCOUNTER1,1,1,0,1,0,0,On,Low,Standing,N,NA
05/07/2023,Technoparc,Weekday,AM,4,27,TECHL1,JUL05_TECHL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,Technoparc,Weekday,AM,5,27,TECHS1,JUL05_TECHS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,Technoparc,Weekday,AM,5,27,TECHL2,JUL05_TECHL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,Technoparc,Weekday,AM,5,27,TECHS2,JUL05_TECHS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,MorganArboretum,Weekday,PM,3,28,ARBOS1,JUL05_ARBOS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,MorganArboretum,Weekday,PM,3,28,ARBOL1,JUL05_ARBOL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,MorganArboretum,Weekday,PM,6,28,ARBOL2,JUL05_ARBOL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,MorganArboretum,Weekday,PM,4,28,ARBOS2,JUL05_ARBOS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,MorganArboretum,Weekday,PM,3,28,ARBOL1,JUL05_ARBOL1_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,MorganArboretum,Weekday,PM,2,28,ARBOS1,JUL05_ARBOS1_LOOP2_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,Stoneycroft,Weekday,PM,5,28,STNYL1,JUL05_STNYL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,Stoneycroft,Weekday,PM,6,28,STNYL2,JUL05_STNYL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,Stoneycroft,Weekday,PM,6,28,STNYS1,JUL05_STNYS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
05/07/2023,Stoneycroft,Weekday,PM,7,28,STNYS2,JUL05_STNYS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
15/07/2023,BoisdeLiesse,Weekend,AM,10,21,BDLL1,JUL15_BDLL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
15/07/2023,BoisdeLiesse,Weekend,AM,10,21,BDLL1,JUL15_BDLL1_LOOP1_ENCOUNTER1,1,1,0,1,0,0,On,Low,Standing,N,NA
15/07/2023,BoisdeLiesse,Weekend,AM,10,21,BDLS1,JUL15_BDLS1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
15/07/2023,BoisdeLiesse,Weekend,AM,10,21,BDLL2,JUL15_BDLL2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
15/07/2023,BoisdeLiesse,Weekend,AM,10,21,BDLS2,JUL15_BDLS2_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
15/07/2023,Technoparc,Weekend,AM,10,22,TECHL1,JUL15_TECHL1_LOOP1_ENCOUNTER0,0,0,0,0,0,0,NA,NA,NA,N,NA
